prevword,nextword,prevpos,nextpos,prevnum,nextnum,number,class
целый,недостаток,ADJF,NOUN,sing,plur,sing,3
целое,массовый,NOUN,ADJF,sing,plur,sing,3
и,другой,CONJ,ADJF,none,plur,sing,3
в,акция,PREP,NOUN,none,plur,sing,3
даже,преимущество,PRCL,NOUN,none,plur,sing,3
создать,удачный,VERB,ADJF,sing,plur,sing,3
целое,область,NOUN,NOUN,sing,plur,sing,3
сделать,замечание,VERB,NOUN,plur,plur,sing,3
действовать,закон,VERB,NOUN,sing,plur,sing,3
целое,номинация,NOUN,NOUN,sing,plur,sing,3
с,свой,PREP,ADJF,none,plur,sing,3
целый,причина,ADJF,NOUN,sing,plur,sing,3
пересмотр,ранее,NOUN,ADVB,sing,none,sing,3
